date,Time,Humidity,Temperature,WaterTemp,pH
2021-06-29,13:21:52,59.40,31.30,-127.00,5.27
2021-06-29,13:24:47,59.30,31.30,-127.00,5.24
2021-06-29,13:25:03,59.00,31.30,-127.00,5.22
2021-06-29,13:25:19,59.20,31.30,-127.00,5.05
2021-06-29,13:25:34,59.10,31.30,-127.00,5.14
2021-06-29,13:25:50,59.10,31.30,-127.00,5.20
2021-06-29,13:26:05,58.90,31.30,-127.00,4.86
2021-06-29,13:26:20,59.00,31.30,-127.00,4.76
2021-06-29,13:26:36,59.00,31.30,-127.00,5.07
2021-06-29,13:26:59,59.00,31.30,-127.00,4.82
2021-06-29,13:27:15,59.00,31.30,-127.00,4.75
2021-06-29,13:27:55,58.90,31.30,-127.00,5.15
2021-06-29,13:28:11,58.90,31.30,-127.00,4.90
2021-06-29,13:28:27,59.00,31.30,-127.00,5.22
2021-06-29,13:28:42,59.10,31.30,-127.00,4.72
2021-06-29,13:28:57,59.80,31.30,-127.00,5.14
2021-06-29,13:29:13,59.10,31.30,-127.00,4.83
2021-06-29,13:29:28,58.90,31.30,-127.00,5.20
2021-06-29,13:29:43,58.90,31.30,-127.00,5.14
2021-06-29,13:29:58,58.80,31.30,-127.00,4.98
2021-06-29,13:30:14,59.00,31.40,-127.00,4.77
2021-06-29,13:30:29,58.90,31.30,-127.00,5.12
2021-06-29,13:30:45,59.00,31.30,-127.00,4.78
2021-06-29,13:31:00,59.10,31.40,-127.00,5.21
